Type,Indicator,App
domain,trkps.com,Flexispy
domain,flexispy.com,Flexispy
domain,client.mobilefonex.com,Flexispy
domain,test-client.mobilefonex.com,Flexispy
domain,push.mobilefonex.com,Flexispy
domain,mflx.biz,Flexispy
domain,dmw.bz,Flexispy
domain,djp.bz,Flexispy
domain,dmw.cc,Flexispy
ip,119.8.35.235,Flexispy
domain,protocol-a.guestspy.com,GuestSpy
domain,protocol-a5.guestspy.com,GuestSpy
domain,protocol-a65.guestspy.com,GuestSpy
domain,protocol-a70.guestspy.com,GuestSpy
domain,protocol.guestspy.com,GuestSpy
domain,protocol-a58.guestspy.com,GuestSpy
domain,protocol-a59.guestspy.com,GuestSpy
domain,protocol-a60.guestspy.com,GuestSpy
domain,guestspy.com,GuestSpy
domain,evt17.com,HighsterMobile
domain,ddiutilities.com,DDI Utilities
domain,hoverwatch.com,Hoverwatch
domain,i.hoverwatch.com,Hoverwatch
domain,account.refog.com,Hoverwatch
domain,rec.hw.cab,Hoverwatch
domain,hwa.cab,Hoverwatch
ip,198.100.150.203,Hoverwatch
domain,www.imonitorsoft.com,iMonitorSpy
domain,www.imonitorsoft.cn,iMonitorSpy
domain,letmespy.com,LetMeSpy
domain,remotecommands.com,LetMeSpy
domain,www.mspyonline.com,mspy
domain,my.mspyonline.com,mspy
domain,thd.cc,mspy
domain,a.thd.cc,mspy
domain,protocol-a811.mxspy.com,mxspy
domain,www.mxspy.com,mxspy
domain,protocol.mxspy.com,mxspy
domain,protocol-a810.mxspy.com,mxspy
domain,protocol-a89.mxspy.com,mxspy
domain,protocol-a.mxspy.com,mxspy
domain,www.phonespying.com,PhoneSpying
domain,reptilicus.net,Repticulus
domain,data.reptilicus.net,Repticulus
domain,proxy.reptilicus.net,Repticulus
domain,rp.apollospy.com,Repticulus
domain,client.spyhide.com,SpyHide
domain,spyhide.com,SpyHide
domain,account.cellphone-remote-tracker.com,SpyHide
domain,cellphone-remote-tracker.com,SpyHide
domain,www.spyhide.com,SpyHide
domain,spyhide.ir,SpyHide
domain,www.spyhide.ir,SpyHide
domain,client.spyhide.ir,SpyHide
domain,virsis.net,SpyHide
ipv4,78.47.16.3,SpyHide
domain,www.spy-phone-app.com,SpyPhoneApp
domain,www.spy-datacenter.com,SpyPhoneApp
domain,www.spappmonitoring.com,SpyPhoneApp
domain,protocol-a712.fonetracker.com,FoneTracker
domain,protocol-a100.fonetracker.com,FoneTracker
domain,protocol-a780.fonetracker.com,FoneTracker
domain,sync-a712.fonetracker.com,FoneTracker
domain,fonetracker.com,FoneTracker
domain,www.netspy.net,NetSpy
domain,app-api.spyzie.com,Spyzie
domain,my.spyzie.com,Spyzie
domain,app.api.spyzie.wondershare.cn,Spyzie
domain,data.api.spyzie.wondershare.cn,Spyzie
domain,data-api.spyzie.com,Spyzie
domain,www.spyzie.com,Spyzie
domain,i.spyzie.io,Spyzie
domain,neospy.pro,NeoSpy
domain,neospy.net,NeoSpy
domain,neospy.tech,NeoSpy
domain,server.androidmonitor.com,AndroidMonitor
domain,www.androidmonitor.com,AndroidMonitor
domain,alltracker.org,AllTracker
domain,staging-all-tracker.appspot.com,AllTracker
domain,6-dot-all-tracker.appspot.com,AllTracker
domain,4-dot-all-tracker.appspot.com,AllTracker
domain,www.mobistealth.com,Mobistealth
domain,dwn.vys.me,Mobistealth
domain,www.vys.me,Mobistealth
ip,5.79.71.114,Mobistealth
