type,indicator,app
domain,protocol-a747.thetruthspy.com,TheTruthSpy
domain,protocol-a748.thetruthspy.com,TheTruthSpy
domain,protocol-a749.thetruthspy.com,TheTruthSpy
domain,protocol-a780.copy9.com,TheTruthSpy
domain,protocol-a780.fonetracker.com,TheTruthSpy
domain,protocol-a780.ispyoo.com,TheTruthSpy
domain,protocol-a780.mxspy.com,TheTruthSpy
domain,protocol-a785.copy9.com,TheTruthSpy
domain,protocol-a785.fonetracker.com,TheTruthSpy
domain,protocol-a810.ispyoo.com,TheTruthSpy
domain,protocol-a810.mxspy.com,TheTruthSpy
domain,protocol-a810.thetruthspy.com,TheTruthSpy
domain,protocol-a811.ispyoo.com,TheTruthSpy
domain,protocol-a811.mxspy.com,TheTruthSpy
domain,protocol-a880.ispyoo.com,TheTruthSpy
domain,protocol-a89.ispyoo.com,TheTruthSpy
domain,protocol-a89.mxspy.com,TheTruthSpy
domain,protocol-a910.thetruthspy.com,TheTruthSpy
domain,protocol-a915.thetruthspy.com,TheTruthSpy
domain,protocol-a920.thetruthspy.com,TheTruthSpy
domain,protocol-a925.thetruthspy.com,TheTruthSpy
domain,protocol-a930.thetruthspy.com,TheTruthSpy
domain,protocol-a935.thetruthspy.com,TheTruthSpy
domain,protocol-a940.thetruthspy.com,TheTruthSpy
domain,protocol-a941.thetruthspy.com,TheTruthSpy
domain,protocol-a942.thetruthspy.com,TheTruthSpy
domain,protocol-monitor.thetruthspy.com,TheTruthSpy
domain,protocol-viewer-a.copy9.com,TheTruthSpy
domain,protocol.copy9.com,TheTruthSpy
domain,protocol.guestspy.com,TheTruthSpy
domain,protocol.ispyoo.com,TheTruthSpy
domain,protocol.mxspy.com,TheTruthSpy
domain,protocol.systemserviceprovider.com,TheTruthSpy
domain,protocol.thetruthspy.com,TheTruthSpy
domain,secondclone-2d312.firebaseio.com,TheTruthSpy
domain,setupmail-a.icloudappe.com,TheTruthSpy
domain,setupmail-a720.icloudappe.com,TheTruthSpy
domain,setupmail-a722.icloudappe.com,TheTruthSpy
domain,setupmail-a724.icloudappe.com,TheTruthSpy
domain,setupmail-a725.icloudappe.com,TheTruthSpy
domain,setupmail-a726.icloudappe.com,TheTruthSpy
domain,setupmail-a727.icloudappe.com,TheTruthSpy
domain,setupmail-a729.icloudappe.com,TheTruthSpy
domain,setupmail-a732.icloudappe.com,TheTruthSpy
domain,setupmail-a733.icloudappe.com,TheTruthSpy
domain,setupmail-a734.icloudappe.com,TheTruthSpy
